Serial No,Movie Name,Year of Release,Watch Time
1,Stranger on the Third Floor,1940,64
2,Seven Chances,1925,56
3,Silver Linings Playbook,2012,122
4,"Steamboat Bill, Jr.",1928,70
5,Second Chance,1953,82
6,Seven Years Bad Luck,1921,62
7,Scream 4,2011,111
8,Se7en,1995,127
9,Suddenly,1954,77
10,Scavenger Hunt,1979,116
11,Shadow of a Doubt,1943,108
12,Sorority Row,2009,101
13,Surf Ninjas,1993,87
14,Simon Birch,1998,114
15,Say Nothing,2001,94
16,Snoopy: The Musical,1988 TV Movie,50
17,Snoopy Come Home,1972,80
18,Saving Private Ryan,1998,169
19,Something Wicked This Way Comes,1983,95
20,Saw III,2006,108
21,Solo,I 2013,83
22,Sleepwalkers,1992,91
23,Scream,1996,111
24,Skyfall,2012,143
25,Scream 2,1997,120
26,Scream 3,2000,116
27,Suspiria,1977,99
28,Stay Alive,2006,85
29,"Sorry, Wrong Number",1948,89
30,Castle Freak,1995 Video,90
31,Snow White,1987,85
32,Suspicion,1941,99
33,Slash,2002,93
34,Stranger in Town,1998 TV Movie,94
35,Stromboli (Terra di Dio),1950,107
36,She Freak,1967,83
37,Striking Poses,1998,93
38,Saving Mr. Banks,2013,125
39,Salt,2010,100
40,Sneakers,1992,126
41,Stranger in My Bed,2005 TV Movie,120
42,Scared,2002,90
43,Silent House,2011,86
44,Secret Window,2004,96
45,Sleeping with the Enemy,1991,99
46,Sunset Boulevard,1950,110
47,Summer of Fear,1996 TV Movie,100
48,Stranger at the Door,2004 TV Movie,92
49,Sleeping with the Devil,1997 TV Movie,96
50,Super 8,2011,112
51,Seduced and Betrayed,1995 TV Movie,87
52,See No Evil,2006,84
53,Summer House,2008 TV Movie,90
54,Sisters,1972,93
55,Shaun of the Dead,2004,99
56,Some Like It Hot,1959,121
57,Sweet Liberty,1986,106
58,Scary Movie 2,2001,83
59,Spy Kids,2001,88
60,Superman Returns,2006,154
61,Shadow: Dead Riot,2006,81
62,Schrei - denn ich werde dich töten!,1999 TV Movie,93
63,Shrek the Third,2007,93
64,Shrek Forever After,2010,93
65,Saw II,2005,93
66,Socrate,1970 TV Movie,120
67,Sen to Chihiro no kamikakushi,2001,125
68,Shrek 2,2004,93
69,Someone Is Watching,2000 TV Movie,95
70,Stepfather II,1989,93
71,Stranger Than Fiction,2006,113
72,Slaughter Studios,2002 Video,90
73,Singin' in the Rain,1952,103
74,Strangeland,1998,85
75,Shadow of the Vampire,2000,92
76,Spy Kids 2: Island of Lost Dreams,2002,100
77,Seed of Chucky,2004,87
78,Snatch,2000,104
79,Bedazzled,1967,103
80,Straight Into Darkness,2004,95
81,Shocker,1989,109
82,Scrooged,1988,101
83,Scoop,2006,96
84,Shanghai Knights,2003,114
85,Saw,2004,103
86,Sleeping Beauty,1987,90
87,Someone to Love Me,1998 TV Movie,96
88,Spaced Invaders,1990,100
89,Shrek,2001,90
90,Stuart Little 2,2002,77
91,Schneewittchen und die sieben Zwerge,1955,76
92,Sleepy Hollow,1999,105
93,Shark Tale,2004,90
94,Single White Female,1992,107
95,Spider-Man 2,2004,127
96,Uzumaki,2000,90
97,Mother Goose Rock 'n' Rhyme,1990 TV Movie,96
98,Star Wars: Episode III - Revenge of the Sith,2005,140
99,Saw IV,2007,93
100,Sweeney Todd: The Demon Barber of Fleet Street,2007,116
